title,company,location,link
2020 APAC Graduate Programme – Junior Fixed Income Sales,BNP Paribas,서울,https://kr.indeed.com/viewjob?jk=b2c01054f550bdf2
AI/빅데이터 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/viewjob?jk=fb617eeb80ea6fa9
Process & Data Scientist,Applied Materials Inc.,대한민국,https://kr.indeed.com/viewjob?jk=e56ad55002666f4c
기후변화감시과 무기계약 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=e060e1d70dba315e
[국비무료/해외취업] 일본 관광·서비스기업/독일 IT기업 취업연수생,전경련 국제경영원,서울 영등포구,https://kr.indeed.com/viewjob?jk=15a42e1f57cda077
각 부문 신입 및 경력직,다나와,서울 양천구,https://kr.indeed.com/viewjob?jk=e9769f02d3ee247b
[판교]기술지원,NHN Service] [판교,경기도,https://kr.indeed.com/viewjob?jk=466ed639df372448
주요정보통신기반시설 취약점진단분석평가 전문가(경력),한국정보기술단,과천 과천시,https://kr.indeed.com/viewjob?jk=af96fe64997f8ef3
네이버 쇼핑검색플랫폼 개발자,네이버,대한민국,https://kr.indeed.com/viewjob?jk=f3a14b3f8d9e3e12
Software Engineer,Google,서울,https://kr.indeed.com/viewjob?jk=d2df92c32bd4a203
Software Developer - Front-End / Back-End,AITRICS,서울,https://kr.indeed.com/viewjob?jk=5123207a169f90eb
모빌리티 자율주행 솔루션 실무과정 국비교육(4차산업인력양성),연희직업전문학교,인천 서구,https://kr.indeed.com/viewjob?jk=acbcd598c4efddaf
데이터 엔지니어,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=9beae60d2a0472c6
"Python, PHP 외 경력 정규직",드래곤에이치알,서울 강서구,https://kr.indeed.com/viewjob?jk=199189698f0d215c
[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버,대한민국,https://kr.indeed.com/viewjob?jk=a41d35173ffe4666
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/viewjob?jk=649ccf047c868778
Information Management Office Cybersecurity Engineer,Booz Allen Hamilton,서울,https://kr.indeed.com/viewjob?jk=4c3776c4cce63109
데이터 엔지니어,리디,서울특별시,https://kr.indeed.com/viewjob?jk=1937ebb0ea172f08
Staff AE,Synopsys,서울,https://kr.indeed.com/viewjob?jk=c388192aa3ac0634
R&D 연구원/ 임베디드시스템 개발자,홍익대학교 무인이동체자율항법연구실,서울 마포구,https://kr.indeed.com/viewjob?jk=40acc204682e5219
Cross Border e-Commerce - Business Intelligence for Korea Market,Shopee,서울,https://kr.indeed.com/viewjob?jk=69b824318cebcbb9
Data Analyst,레이니스트,서울,https://kr.indeed.com/viewjob?jk=e5ca14de265f7fc9
데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업,서울 강남구,https://kr.indeed.com/viewjob?jk=c1037225077ca4da
2020년 센서기반 디지털 사이니지 전문인력양성교육,전주정보문화산업진흥원,전라북도 고창,https://kr.indeed.com/viewjob?jk=13c162041149c4f7
2020년 인공지능AI 교육콘텐츠지도사 양성과정 인원,한국여성과학기술인지원센터,서울 강남구,https://kr.indeed.com/viewjob?jk=b5476b58084376a4
"[펜타시큐리티] 보안S/W 개발자 (DB, 웹, 인증, 클라우드)",펜타시큐리티시스템,서울 영등포구,https://kr.indeed.com/viewjob?jk=7d7dd2ce6da802d3
[FEG]이스포츠 전문 벤처기업 데이터사이언티스트,창운코리아,서울 구로구,https://kr.indeed.com/viewjob?jk=5c0619932da93d39
SI 프로젝트 개발자 (계약직 및 프리랜서),케이포시큐리티,서울 구로구,https://kr.indeed.com/viewjob?jk=ee5df99ada829d81
데이터 분석가,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=092d062a6faa7139
APEC 기후센터 (전산통계 연구원),기상청,대한민국,https://kr.indeed.com/viewjob?jk=bc13f5058d3c7644
Staff AE,Synopsys,서울,https://kr.indeed.com/viewjob?jk=c388192aa3ac0634
데이터 엔지니어,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=9beae60d2a0472c6
[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버,대한민국,https://kr.indeed.com/viewjob?jk=a41d35173ffe4666
"유니챌 SW 개발자 (JavaScript, React Native, Python)",유니챌,서울 금천구,https://kr.indeed.com/viewjob?jk=96a87e4193c82cc1
[Search] BigData and AI Platform S/W엔지니어 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=7d85150a375cfacf
Data analyst,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=7de81c247b678be8
여름방학 청년취업 아카데미 교육생,멀티캠퍼스,서울 강남구,https://kr.indeed.com/viewjob?jk=b507b6d54e37a694
Process & Data Scientist,Applied Materials Inc.,대한민국,https://kr.indeed.com/viewjob?jk=e56ad55002666f4c
경력직 - [피파온라인4] 테크니컬 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=0bce5c7e8c1e521d
2020 APAC Graduate Programme – Junior Fixed Income Sales,BNP Paribas,서울,https://kr.indeed.com/viewjob?jk=b2c01054f550bdf2
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/viewjob?jk=a39853230d5ceca8
2020년 제1회 공무직 근로자 연장,기상청,대한민국,https://kr.indeed.com/viewjob?jk=b963b6feb7684f86
[긴급]클라우드 기반 MSA향 개발( 대리-차장(서울 ),에이스파트너스서치펌,성남 분당구,https://kr.indeed.com/viewjob?jk=b99763298b3abbfb
2019년 기상청 국가태풍센터 공무직 근로자 (연장),기상청,대한민국,https://kr.indeed.com/viewjob?jk=fc2a932fcb4ac692
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=e1719c3044cb5bd1
Information Management Office Cybersecurity Engineer,Booz Allen Hamilton,서울,https://kr.indeed.com/viewjob?jk=4c3776c4cce63109
"유니챌 SW 개발자 (C/C++, Python, Linux)",유니챌,서울 금천구,https://kr.indeed.com/viewjob?jk=dfe05f5ca369a262
근로자(연구원),기상청,대한민국,https://kr.indeed.com/viewjob?jk=03801e6002dec8d0
"서버 개발자 (리눅스, C,C++, TCP/IP 소켓)",비에이블컨설팅그룹,서울 구로구,https://kr.indeed.com/viewjob?jk=16a0c963a5fe0ea4
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/viewjob?jk=25725b3c0e607311
"Cyber Risk Management Analyst, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/viewjob?jk=433ceb4487baf3dc
데이터 분석가(팀원급),RIDI Corp,서울,https://kr.indeed.com/viewjob?jk=0c5605721b0d73ec
데이터 분석 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=1c4f1c0b625f5abd
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=752a4b5d63eac97c
Tech U Associate Technical Trainer - 2020 Korea,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=a8b83b3070bb370a
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/viewjob?jk=212ca67d161b7162
기상청 영향예보추진팀 공무직 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=e7beea26c2f0acc5
데이터분석가(팀장급),RIDI Corp,서울,https://kr.indeed.com/viewjob?jk=1aa1ef16d0ee1675
기상청 국가태풍센터 공무직 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=58dbff5fd8f974f0
[ 2020 YG ENTERTAINMENT ] 정보관리 경력 (IT시스템 개발) - 상시 채용,YG 엔터테인먼트,서울 합정동,https://kr.indeed.com/viewjob?jk=dab3f72b35f4bc7e
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac
Cross Border e-Commerce - Business Intelligence for Korea Market,Shopee,서울,https://kr.indeed.com/viewjob?jk=69b824318cebcbb9
인프라보안 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=f8fceff441e23ad6
[Ericsson-LG Enterprise] WebRTC UC & Collaboration Developer,에릭슨엘지,서울 금천구,https://kr.indeed.com/viewjob?jk=5c7b686e3fee8fa7
Data Analyst,레이니스트,서울,https://kr.indeed.com/viewjob?jk=e5ca14de265f7fc9
네이버 일본 맛집 서비스 CONOMI 머신러닝 개발자,네이버,대한민국,https://kr.indeed.com/viewjob?jk=feac8a234b715106
백엔드 인프라 개발자 (정규직 & 보충역),토이스미스,서울 강남구,https://kr.indeed.com/viewjob?jk=de3e259116aee463
R&D 연구원/ 임베디드시스템 개발자,홍익대학교 무인이동체자율항법연구실,서울 마포구,https://kr.indeed.com/viewjob?jk=40acc204682e5219
혁신성장 클라우드 아카데미 3기 추가과정 교육생,한국클라우드컴퓨팅연구조합,서울,https://kr.indeed.com/viewjob?jk=e18cb6dfeb545b92
인공지능 AI 코딩 전문가 양성과정 (무료/취업),송원대학교산학협력단,광주 서구,https://kr.indeed.com/viewjob?jk=2eed854308f20975
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=bfe0f5ac4f32ec89
[NAVERxLINE] Global Ad Data Engineer/AI Engineer/AI Planner,네이버,대한민국,https://kr.indeed.com/viewjob?jk=a358a39da5dfc360
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/viewjob?jk=b3dc36f873b9e4e3
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/viewjob?jk=b3dc36f873b9e4e3
[ 2020 YG ENTERTAINMENT ] 정보관리 경력 (IT시스템 개발) - 상시 채용,YG 엔터테인먼트,서울 합정동,https://kr.indeed.com/viewjob?jk=dab3f72b35f4bc7e
"연구소 우수인재 (SW개발, HW개발, FW개발, 영상처리, AI, 기구설계, 영상개선개발)",제노레이,성남 중원구,https://kr.indeed.com/viewjob?jk=1ee2005a03291881
기상청 국가태풍센터 공무직 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=58dbff5fd8f974f0
"서버 개발자 (리눅스, C,C++, TCP/IP 소켓)",비에이블컨설팅그룹,서울 구로구,https://kr.indeed.com/viewjob?jk=16a0c963a5fe0ea4
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/viewjob?jk=9040dba1c8db2a5d
Frontend Developer (Javascript/React),Bepro Company,서울,https://kr.indeed.com/viewjob?jk=d11342cfe074df78
[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=f7d997676f80e247
[Data Lab] 빅데이터 활용 개발 경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=a23938a1b6969c37
Back-end Software Engineer,Bear Robotics,서울,https://kr.indeed.com/viewjob?jk=299b5151a7b83f1d
Design for Test (DFT) Engineer,SiFive,대한민국,https://kr.indeed.com/viewjob?jk=6c6ccc05ec15dc41
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/viewjob?jk=a39853230d5ceca8
인프라보안 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=f8fceff441e23ad6
2020년 센서기반 디지털 사이니지 전문인력양성교육,전주정보문화산업진흥원,전라북도 고창,https://kr.indeed.com/viewjob?jk=13c162041149c4f7
연구개발직 신입/경력 정규직,더블미코리아,성남 분당구,https://kr.indeed.com/viewjob?jk=8ff424742daa3be0
글로벌 메이저 소비재 기업 Server Technician (7~12년차) 포지션 ASAP,글로벌 메이저 소비재 기업,서울 강남구,https://kr.indeed.com/viewjob?jk=3ecc0d5295f6a3ec
[Search] NAVER Search 이미지 검색서버개발 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=a771637c0eeffc26
Data Engineer,레이니스트,서울,https://kr.indeed.com/viewjob?jk=02dd3cb5f0906404
PDC SW Engineer (R&D Extension),Applied Materials Inc.,경기도 화성,https://kr.indeed.com/viewjob?jk=bd47be8c217b1a6e
Data Scientist,토스,서울 강남구,https://kr.indeed.com/viewjob?jk=f5f5f902d240ac96
머신러닝/딥러닝,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=cd8ee27085e6a2ff
[FEG]이스포츠 전문 벤처기업 데이터사이언티스트,창운코리아,서울 구로구,https://kr.indeed.com/viewjob?jk=5c0619932da93d39
금융플랫폼 AI 플랫폼 연구개발,금융그룹 AI 플랫폼 연구개발,서울,https://kr.indeed.com/viewjob?jk=711b922289384d7f
[긴급]클라우드 기반 MSA향 개발( 대리-차장(서울 ),에이스파트너스서치펌,성남 분당구,https://kr.indeed.com/viewjob?jk=b99763298b3abbfb
2014년도 국립기상연구소 상반기 연구원(기간제근로자),기상청,대한민국,https://kr.indeed.com/viewjob?jk=5d44907c50ac571d
서버개발자,쿡앱스,성남 분당구,https://kr.indeed.com/viewjob?jk=9e88beadda2081f6
자동차 전장부품 모션제어 경력인재- 자동차부품 우량대기업,에스에프인촌,서울 강남구,https://kr.indeed.com/viewjob?jk=57cf3c5db3b822fc
삼성 청년SW아카데미 4기,멀티캠퍼스,서울,https://kr.indeed.com/viewjob?jk=f179ae9ce0b642be
Data Analyst,토스,서울 강남구,https://kr.indeed.com/viewjob?jk=e393fa440b668be7
[S/W] 로봇 내비게이션 기술 개발,현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=f4f8bfaed95edb7e
자동차 전장부품 소프트웨어(SW) 개발 - 자동차부품 우량대기업,에스에프인촌,서울 강남구,https://kr.indeed.com/viewjob?jk=8ba3d9a97f33e180
"Cyber Risk Management Analyst, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/viewjob?jk=433ceb4487baf3dc
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/viewjob?jk=4a65a5779d9c9e2a
마케팅 데이터 엔지니어 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=9ccf3e3afe262bf8
기상청 영향예보추진팀 공무직 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=e7beea26c2f0acc5
Support Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=0bbf23c0930be392
[Search] 글로벌 콘텐츠 검색/ AI 기술 개발 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=90104004fabe2502
보안 개발자 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=b9a9af798e9d24a5
Data Scientist,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=5bc622575fee61b8
기간제 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=5630ae48b3f6e6b0
[Robotics] Deep Reinforcement Learning Engineer,네이버,대한민국,https://kr.indeed.com/viewjob?jk=05d6f01f9a494a1b
[Clova] 음성 합성 기술 개발 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=e18dbcd921d9633b
[서울지사] 데이터 분석가,네오플,서울 강남구,https://kr.indeed.com/viewjob?jk=3d0fef92805a8c7c
광고팀 - 분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=3a08c7089343733d
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=bfe0f5ac4f32ec89
"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany,경상남도,https://kr.indeed.com/viewjob?jk=2b7bc67cebf49cc0
기술연구소-연구원,뷰온,서울 금천구,https://kr.indeed.com/viewjob?jk=cd826811aa0f2ab5
2016년도 상반기 국립기상과학원 기간제근로자(소프트웨어기사),기상청,대한민국,https://kr.indeed.com/viewjob?jk=0ff60b682d4582cd
Software Engineer - Real-time Chat Platform,Sendbird,서울,https://kr.indeed.com/viewjob?jk=701b04f0ab18c3d0
Solutions Architect,Cloudera,대한민국,https://kr.indeed.com/viewjob?jk=a459013391a3d600
2019년 기상청 국가태풍센터 공무직 근로자 (연장),기상청,대한민국,https://kr.indeed.com/viewjob?jk=fc2a932fcb4ac692
데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업,서울 강남구,https://kr.indeed.com/viewjob?jk=c1037225077ca4da
데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업,서울 강남구,https://kr.indeed.com/viewjob?jk=c1037225077ca4da
매칭팀 - 프로그래머,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=b83e48f219011128
PDC SW Engineer (R&D Extension),Applied Materials Inc.,경기도 화성,https://kr.indeed.com/viewjob?jk=bd47be8c217b1a6e
데이터 분석가,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=092d062a6faa7139
"유니챌 SW 개발자 (JavaScript, React Native, Python)",유니챌,서울 금천구,https://kr.indeed.com/viewjob?jk=96a87e4193c82cc1
주요정보통신기반시설 취약점진단분석평가 전문가(경력),한국정보기술단,과천 과천시,https://kr.indeed.com/viewjob?jk=af96fe64997f8ef3
O2O Platform Backend 개발자,에이치에너지,서울 강남구,https://kr.indeed.com/viewjob?jk=6e8017195f641e67
혁신성장 클라우드 아카데미 3기 추가과정 교육생,한국클라우드컴퓨팅연구조합,서울,https://kr.indeed.com/viewjob?jk=e18cb6dfeb545b92
[Autonomous Driving] Software Tool Engineer,네이버,대한민국,https://kr.indeed.com/viewjob?jk=84348b9371558933
Senior Full-stack Developer,Asiance,서울,https://kr.indeed.com/viewjob?jk=978edf4ea4db4d6c
Technical Writer,Sendbird,서울,https://kr.indeed.com/viewjob?jk=e5c63f4e86ceefda
Applied Data Science Manager,dunnhumby,서울,https://kr.indeed.com/viewjob?jk=bccc3db8b37d87c1
웹프론트엔드 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=f4a5057bd3043129
[Robotics] Deep Reinforcement Learning Engineer,네이버,대한민국,https://kr.indeed.com/viewjob?jk=05d6f01f9a494a1b
항공기상청 기간제 근로자(연구원),기상청,대한민국,https://kr.indeed.com/viewjob?jk=9eec269c03d07179
소프트웨어개발 신입/경력 계약직,아이앤아이소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=856b50a536c3e74d
Security Operations Center Analyst,Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/viewjob?jk=3e207b801bb540db
Lead Technical Solutions Engineer,MightyHive,서울,https://kr.indeed.com/viewjob?jk=ae2c6294bc277408
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9
System Engineer,토스 뱅크,서울 강남구,https://kr.indeed.com/viewjob?jk=80dea8b8353c3ee0
[삼성청년SW아카데미] 프로젝트 컨설턴트 (멀티캠퍼스),멀티캠퍼스,경상북도 구미,https://kr.indeed.com/viewjob?jk=1a642e02295c816d
[홈쇼핑모아] 개발팀 / 백엔드 엔지니어,버즈니,서울,https://kr.indeed.com/viewjob?jk=6d0388270778d803
현대오트론 차량용 반도체/전장SW 전문가 경력 상시,현대오트론,서울 강남구,https://kr.indeed.com/viewjob?jk=38863766ef858bdf
[S/W] Data Scientist,현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=e4952de43fa31517
[R&D] Industrial ROBOT - S/W 설계 (신입/경력),제우스,경기도 오산,https://kr.indeed.com/viewjob?jk=1f754ccfbef4984e
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac
"Design Consultant, Sr II",Synopsys,대한민국,https://kr.indeed.com/viewjob?jk=33da210b05e4dac7
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/viewjob?jk=9040dba1c8db2a5d
Junior Full-Stack Developer,Asiance,서울,https://kr.indeed.com/viewjob?jk=7268328c0d71d81c
Data Architect,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=5d9a7b29a92fc3da
"RF SW Engineer, Senior",Qualcomm,서울,https://kr.indeed.com/viewjob?jk=2a4041f0b6aeb27b
[서울지사] 데이터 분석가,네오플,서울 강남구,https://kr.indeed.com/viewjob?jk=3d0fef92805a8c7c
Data Engineering Manager,레이니스트,서울,https://kr.indeed.com/viewjob?jk=301a562b5b4d2b2e
Data Analyst,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=2150a287fa8c4d51
광고팀 - 분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=3a08c7089343733d
8퍼센트 경력 개발자,8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=464ef95516a5fa5c
매칭팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=48090bdf1303bd76
"UI/UX개발/고객행동분석 (Python, GA, Database)",온누리아이코리아,서울 용산구,https://kr.indeed.com/viewjob?jk=ca0f5a6068e6d5c4
MongoDB Engineer,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=2695294aea6dc3b6
Analytics Specialist,MightyHive,서울,https://kr.indeed.com/viewjob?jk=419692b3ddb34768
(주)넷타겟 Bio-IT 융합 연구소 AI 연구원,넷타겟,대전 유성구,https://kr.indeed.com/viewjob?jk=1701b26651bb739a
Data Engineer,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=e0506fe72721e74d
Data Science Engineer (LINE AI Services Lab),LINE Plus corporation,성남 서현역,https://kr.indeed.com/viewjob?jk=339f16c3c77753a7
카카오톡 보이스톡/페이스톡/라이브톡 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=d585814d097935eb
"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany,경상남도,https://kr.indeed.com/viewjob?jk=2b7bc67cebf49cc0
[피파온라인4] 소프트웨어 엔지니어,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=1cf825d234463890
데이터 엔지니어 / Data Engineer,Bagelcode,서울,https://kr.indeed.com/viewjob?jk=bd1ad6ca3aba3000
WebXR / 디지털 트윈 개발 (SW),클레이웍스(주),수원 영통구,https://kr.indeed.com/viewjob?jk=0853a52500098773
Systems Engineer,Hewlett Packard Enterprise,대전,https://kr.indeed.com/viewjob?jk=6ed2963730d3c340
[개발팀] 클라우드 및 컨테이너 개발자,심플렉스,서울 동작구,https://kr.indeed.com/viewjob?jk=652a24fac69813b6
자동차 전장부품 모션제어 경력인재- 자동차부품 우량대기업,에스에프인촌,서울 강남구,https://kr.indeed.com/viewjob?jk=57cf3c5db3b822fc
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/viewjob?jk=b3dc36f873b9e4e3
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/viewjob?jk=b3dc36f873b9e4e3
AI개발팀장 (차장),국내 유명 에듀테크 상장기업,서울 강남구,https://kr.indeed.com/viewjob?jk=ea2fd15223d9f3f7
[AI Lab] AI 백엔드 엔지니어,버즈니,서울,https://kr.indeed.com/viewjob?jk=39d1abf861dbdb6e
웹 서비스 백엔드(Back-end) 시니어 개발자,스탠드포인트,서울 금천구,https://kr.indeed.com/viewjob?jk=2962f736a95cb7e2
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/viewjob?jk=432b169b273d9964
[홈쇼핑모아] 개발팀 / 데이터 엔지니어,버즈니,서울,https://kr.indeed.com/viewjob?jk=ceb8243bc8ae3c35
Software Engineer - Seoul,"Moloco, Inc.",서울,https://kr.indeed.com/viewjob?jk=4206cd042c6633c1
[KSTEC] RPA 시스템 개발 경력사원,지식시스템,성남 분당구,https://kr.indeed.com/viewjob?jk=3fc007f66f80ed9a
(주)NDSOFT 2020년 개발자,엔디소프트,부산 해운대구,https://kr.indeed.com/viewjob?jk=9c9a44b95e58b706
경험최적화파트 - 데이터 사이언티스트/분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=c6e0b428a62c7eaa
GNI 소프트웨어 개발자,KAN,울산 북구,https://kr.indeed.com/viewjob?jk=b2ebc1da56d8b120
Machine Learning Researcher - Speech Synthesis,Qualcomm,서울,https://kr.indeed.com/viewjob?jk=36b2d95ca4db80f4
"(주)트윔 개발자(경력직) 빅데이터,영상처리,머신비전/AI 딥러닝",트윔,경기도 화성,https://kr.indeed.com/viewjob?jk=36a2af333271978e
